Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.4,11,372L,10422.0,-8589.0,-2552.0
0.0,0.4,11,3L,4745.0,-10805.0,-6354.0
0.0,0.4,11,53L,12081.0,-10765.0,-5506.0
0.0,0.4,11,6L,7121.0,-10804.0,-6689.0
0.0,0.4,11,87L,12624.0,-10782.0,-5918.0
0.0,0.4,142,11L,7586.0,-10314.0,-7960.0
0.0,0.4,142,142L,6813.0,-11182.0,-6845.0
0.0,0.4,142,19L,10719.0,-8282.0,-5423.0
0.0,0.4,142,230L,7971.0,-10782.0,-5892.0
0.0,0.4,142,32L,12068.0,-7692.0,-4149.0
0.0,0.4,142,372L,5658.0,-9073.0,-1985.0
0.0,0.4,142,3L,6071.0,-7937.0,-6083.0
0.0,0.4,142,53L,8716.0,-9140.0,-7016.0
0.0,0.4,142,6L,6270.0,-7937.0,-5725.0
0.0,0.4,142,87L,10937.0,-10080.0,-5833.0
0.0,0.4,19,11L,6858.0,-10602.0,-5761.0
0.0,0.4,19,142L,13604.0,-10719.0,-4445.0
0.0,0.4,19,19L,10375.0,-10800.0,-5903.0
0.0,0.4,19,230L,12035.0,-7582.0,-2945.0
0.0,0.4,19,32L,12713.0,-10555.0,-5427.0
0.0,0.4,19,372L,12667.0,-8058.0,0.0
0.0,0.4,19,3L,9032.0,-10805.0,-6354.0
0.0,0.4,19,53L,12461.0,-10505.0,-6306.0
0.0,0.4,19,6L,6822.0,-10804.0,-6689.0
0.0,0.4,19,87L,14260.0,-10498.0,-6233.0
0.0,0.4,230,11L,8762.0,-8310.0,-7560.0
0.0,0.4,230,142L,9804.0,-8682.0,-4345.0
0.0,0.4,230,19L,9468.0,-8310.0,-7413.0
0.0,0.4,230,230L,5850.0,-9753.0,-5286.0
0.0,0.4,230,32L,9402.0,-8308.0,-7149.0
0.0,0.4,230,372L,7127.0,-8389.0,-2352.0
0.0,0.4,230,3L,6574.0,-8309.0,-7973.0
0.0,0.4,230,53L,9473.0,-8312.0,-7016.0
